sample_id,rainfall_24h_mm,soil_moisture_pct,slope_deg,ground_movement_mm,elevation_m,curvature,failure_occurred
SMP-00001,140.0,63.4,30.2,6.09,854.0,0.46,1
SMP-00002,93.8,41.8,24.8,7.77,548.0,0.39,0
SMP-00003,80.0,78.9,37.9,8.75,407.0,0.42,1
SMP-00004,254.6,35.5,40.7,2.61,1890.0,-0.26,1
SMP-00005,126.6,93.6,45.9,3.75,2021.0,-0.23,0
SMP-00006,234.6,65.6,50.7,3.9,1342.0,0.22,1
SMP-00007,13.9,37.1,23.4,1.48,2376.0,-0.29,0
SMP-00008,27.3,79.7,26.4,4.29,2109.0,0.27,0
SMP-00009,131.4,52.6,47.4,9.12,1639.0,0.25,1
SMP-00010,40.1,86.5,34.8,3.01,2720.0,-0.4,0
SMP-00011,27.5,62.1,18.1,0.96,1536.0,0.26,0
SMP-00012,144.2,86.7,26.7,4.11,1311.0,-0.35,1
SMP-00013,58.3,62.3,41.4,4.77,1070.0,0.29,0
SMP-00014,72.2,67.2,32.9,5.96,2050.0,0.44,1
SMP-00015,222.7,81.6,49.5,4.17,1977.0,-0.05,1
SMP-00016,82.2,40.0,43.8,8.34,1113.0,-0.1,0
SMP-00017,12.2,76.7,29.9,6.17,1241.0,0.16,0
SMP-00018,141.9,83.1,33.4,7.13,1267.0,0.46,1
SMP-00019,141.7,81.2,14.9,8.96,1485.0,-0.23,1
SMP-00020,255.9,89.6,19.9,8.38,2472.0,-0.16,1
SMP-00021,44.4,92.8,40.7,5.43,2806.0,-0.48,1
SMP-00022,105.1,59.2,18.1,6.29,1731.0,0.04,1
SMP-00023,73.7,55.3,14.8,5.15,1191.0,-0.47,0
SMP-00024,219.9,58.7,43.3,8.38,2053.0,-0.16,1
SMP-00025,237.4,47.9,43.5,3.71,1604.0,-0.45,1
SMP-00026,126.5,66.0,14.2,5.98,2759.0,-0.44,1
SMP-00027,157.7,47.4,27.7,2.53,3024.0,0.23,1
SMP-00028,124.8,66.9,47.3,8.15,644.0,0.4,1
SMP-00029,233.6,34.5,37.0,2.66,2959.0,-0.36,1
SMP-00030,89.9,87.6,31.5,9.42,464.0,-0.4,1
SMP-00031,258.4,84.3,48.5,1.61,2066.0,0.12,1
SMP-00032,40.9,39.2,13.1,1.09,599.0,0.1,0
SMP-00033,55.8,35.6,22.1,5.11,2944.0,-0.01,0
SMP-00034,169.2,86.6,39.6,1.45,1717.0,0.05,0
SMP-00035,254.6,97.6,26.2,0.11,2896.0,-0.44,1
SMP-00036,88.2,40.4,34.5,1.64,1753.0,-0.01,0
SMP-00037,67.2,39.3,46.7,7.22,1771.0,0.08,0
SMP-00038,172.7,30.1,32.6,6.52,1253.0,0.1,1
SMP-00039,235.7,42.8,39.8,2.89,2950.0,0.11,1
SMP-00040,150.4,97.1,40.6,0.96,2525.0,0.15,1
SMP-00041,189.2,52.1,33.1,1.02,676.0,0.26,1
SMP-00042,103.2,96.6,50.8,5.34,2233.0,0.06,1
SMP-00043,80.6,36.4,12.4,6.09,1941.0,0.2,0
SMP-00044,58.7,72.7,13.8,2.27,1299.0,-0.14,0
SMP-00045,136.4,71.9,28.0,3.23,2647.0,-0.37,1
SMP-00046,148.7,41.4,24.7,7.46,637.0,0.32,0
SMP-00047,87.5,82.3,32.8,0.6,3196.0,-0.1,0
SMP-00048,62.3,94.1,22.0,3.09,2288.0,0.41,0
SMP-00049,210.7,84.9,13.9,9.2,1000.0,0.39,1
SMP-00050,91.9,32.7,32.0,6.59,2779.0,0.3,0
SMP-00051,69.2,86.8,33.7,8.52,2181.0,-0.3,1
SMP-00052,89.4,34.0,34.8,1.65,1936.0,-0.28,0
SMP-00053,247.1,46.5,15.7,7.48,1969.0,-0.19,1
SMP-00054,193.9,51.9,34.8,6.29,1101.0,-0.1,1
SMP-00055,198.9,72.7,33.1,0.94,1765.0,-0.32,1
SMP-00056,212.4,54.6,43.5,2.44,1070.0,-0.14,1
SMP-00057,195.2,94.8,13.5,3.74,1023.0,0.36,1
SMP-00058,27.3,57.1,16.3,8.51,348.0,0.09,0
SMP-00059,26.6,76.2,33.6,4.8,1696.0,-0.18,0
SMP-00060,143.0,38.0,51.4,0.3,502.0,0.31,0
SMP-00061,248.6,30.0,28.4,2.74,2442.0,-0.25,1
SMP-00062,210.7,51.6,13.2,5.92,1702.0,-0.35,1
SMP-00063,244.1,87.9,19.1,0.13,2934.0,0.42,1
SMP-00064,224.9,66.6,39.7,7.07,2193.0,0.08,1
SMP-00065,119.9,73.7,35.7,9.05,3153.0,0.19,1
SMP-00066,244.8,69.4,37.2,7.26,1333.0,-0.23,1
SMP-00067,115.5,58.9,24.3,1.2,2745.0,0.15,0
SMP-00068,156.9,91.1,16.4,7.97,481.0,0.19,1
SMP-00069,165.6,45.8,51.0,1.98,873.0,0.33,1
SMP-00070,132.7,61.9,30.1,5.25,606.0,0.07,1
SMP-00071,95.3,63.5,21.4,8.1,1306.0,-0.02,1
SMP-00072,143.9,44.1,32.4,5.78,2920.0,-0.15,1
SMP-00073,221.2,35.6,27.8,9.43,2928.0,0.1,1
SMP-00074,238.5,55.1,32.1,8.68,2823.0,-0.07,1
SMP-00075,98.4,89.7,36.5,1.96,1010.0,0.06,0
SMP-00076,16.9,56.3,45.1,5.49,2745.0,-0.16,0
SMP-00077,137.8,91.4,26.8,9.43,2933.0,-0.37,1
SMP-00078,51.2,87.0,21.3,8.39,2466.0,-0.26,1
SMP-00079,227.8,56.4,30.2,5.03,383.0,0.47,1
SMP-00080,24.4,41.6,21.1,8.93,890.0,-0.03,0
SMP-00081,51.7,65.7,33.7,7.89,2677.0,-0.07,0
SMP-00082,212.7,71.7,12.5,8.93,2916.0,-0.4,1
SMP-00083,76.4,73.6,45.1,6.39,2820.0,-0.47,0
SMP-00084,50.1,73.6,42.0,0.71,1860.0,0.18,0
SMP-00085,152.7,85.3,42.2,9.41,1054.0,-0.27,1
SMP-00086,171.4,91.4,23.4,8.11,1632.0,0.32,1
SMP-00087,255.9,48.0,25.0,3.41,1350.0,-0.3,1
SMP-00088,214.5,44.8,26.6,5.92,562.0,-0.1,1
SMP-00089,78.2,67.3,22.9,4.68,682.0,0.11,0
SMP-00090,45.3,66.7,42.7,7.01,1145.0,0.33,0
SMP-00091,184.2,31.4,37.8,2.57,2712.0,0.25,0
SMP-00092,192.3,73.8,35.7,9.41,2883.0,0.28,1
SMP-00093,178.7,97.2,17.8,4.45,3171.0,0.04,1
SMP-00094,120.5,76.9,36.9,6.09,1217.0,0.26,1
SMP-00095,228.6,53.9,41.2,5.77,2605.0,0.21,1
SMP-00096,35.1,72.5,12.1,9.04,1174.0,0.45,1
SMP-00097,83.8,60.8,32.7,7.02,662.0,-0.36,1
SMP-00098,56.1,42.8,23.2,6.9,2660.0,-0.14,0
SMP-00099,115.9,83.2,19.3,7.66,529.0,-0.19,1
SMP-00100,122.2,89.1,13.5,0.67,774.0,-0.24,0
SMP-00101,30.4,78.8,31.3,0.88,3130.0,-0.33,0
SMP-00102,236.4,49.6,32.5,4.62,1401.0,0.08,1
SMP-00103,121.8,46.6,21.2,1.96,2772.0,-0.16,0
SMP-00104,29.0,38.3,37.3,4.02,3091.0,-0.24,0
SMP-00105,11.7,76.2,23.4,2.24,1337.0,-0.05,0
SMP-00106,165.9,53.8,42.6,5.96,2038.0,0.48,1
SMP-00107,121.1,63.8,36.1,4.09,2866.0,0.23,0
SMP-00108,37.9,30.7,37.8,5.72,2975.0,-0.1,0
SMP-00109,115.6,68.2,20.4,8.54,1208.0,-0.35,0
SMP-00110,225.0,95.1,29.4,6.54,994.0,0.34,1
SMP-00111,204.4,88.8,15.5,6.46,1746.0,0.05,1
SMP-00112,248.5,42.2,36.1,0.91,1342.0,0.09,1
SMP-00113,166.4,75.6,29.7,0.62,1756.0,-0.28,1
SMP-00114,103.6,96.9,14.5,6.55,1244.0,-0.04,1
SMP-00115,203.1,98.0,38.6,3.79,1204.0,-0.04,1
SMP-00116,201.4,77.7,51.6,8.89,1678.0,-0.36,1
SMP-00117,21.0,63.3,44.3,1.13,401.0,0.36,0
SMP-00118,231.2,63.1,28.3,4.21,2021.0,-0.15,1
SMP-00119,107.1,35.6,25.7,5.55,2503.0,0.47,0
SMP-00120,21.6,49.4,41.8,5.99,650.0,0.48,0
SMP-00121,215.6,76.5,32.7,8.02,1816.0,0.45,1
SMP-00122,117.4,84.6,23.1,9.28,2315.0,-0.23,1
SMP-00123,115.9,49.4,51.1,4.68,888.0,0.35,0
SMP-00124,230.9,77.5,29.9,3.11,836.0,0.13,1
SMP-00125,162.1,76.8,18.9,7.22,3120.0,-0.25,1
SMP-00126,250.9,94.7,23.2,3.37,2578.0,0.2,1
SMP-00127,187.0,93.9,23.2,7.11,2882.0,0.33,1
SMP-00128,62.4,88.3,13.9,1.21,3086.0,-0.24,0
SMP-00129,76.0,46.0,23.0,5.03,3121.0,-0.39,0
SMP-00130,99.4,58.3,32.3,5.28,982.0,0.14,1
SMP-00131,82.1,63.8,48.4,4.98,1535.0,0.49,1
SMP-00132,155.2,57.5,23.8,5.16,549.0,-0.4,1
SMP-00133,93.1,64.9,46.0,3.26,1830.0,-0.16,0
SMP-00134,82.4,59.1,19.5,3.59,2449.0,-0.01,0
SMP-00135,186.1,40.2,41.4,7.02,2627.0,-0.47,1
SMP-00136,120.8,55.3,23.8,8.59,2629.0,0.12,1
SMP-00137,161.7,71.7,36.3,7.7,2799.0,0.25,1
SMP-00138,143.2,63.3,25.7,1.18,1884.0,0.23,0
SMP-00139,200.4,56.5,27.3,8.22,1896.0,0.06,1
SMP-00140,81.1,77.5,29.9,2.12,544.0,-0.2,1
SMP-00141,246.7,30.5,13.7,3.28,2074.0,-0.48,0
SMP-00142,217.3,88.4,25.7,5.64,2250.0,-0.47,1
SMP-00143,216.5,71.2,47.5,5.78,2513.0,0.1,1
SMP-00144,164.3,54.0,44.7,2.25,1350.0,-0.15,1
SMP-00145,187.4,95.1,48.0,8.43,1685.0,0.4,1
SMP-00146,119.6,36.4,26.2,4.84,2078.0,0.35,0
